List,Date,Total_Systems,Systems_With_Accelerator,Arch_MPP,Arch_Cluster,Arch_Constellation,Arch_SMP,Arch_Other,Arch_Unknown,CPU_AMD,CPU_Intel,CPU_IBM_Power,CPU_NVIDIA_Grace,CPU_Other,CPU_Unknown,GPU_NVIDIA,GPU_AMD,GPU_Intel,GPU_Other
TOP500_201106,201106,79,8,22,57,0,0,0,0,21,46,12,0,0,0,4,2,0,2
TOP500_201111,201111,75,10,19,56,0,0,0,0,17,48,10,0,0,0,8,2,0,0
TOP500_201206,201206,98,17,25,73,0,0,0,0,20,59,17,0,2,0,15,2,0,0
TOP500_201211,201211,97,21,24,73,0,0,0,0,16,64,15,0,2,0,15,2,4,0
TOP500_201306,201306,87,24,23,64,0,0,0,0,15,58,12,0,2,0,15,2,7,0
TOP500_201311,201311,83,23,23,60,0,0,0,0,13,56,12,0,2,0,16,1,6,0
TOP500_201406,201406,84,29,22,62,0,0,0,0,9,62,11,0,2,0,18,1,10,0
TOP500_201411,201411,88,34,17,71,0,0,0,0,8,68,10,0,2,0,21,1,12,0
TOP500_201506,201506,115,42,15,100,0,0,0,0,6,96,11,0,2,0,21,2,19,0
TOP500_201511,201511,110,44,20,90,0,0,0,0,5,96,7,0,2,0,27,1,16,0
TOP500_201606,201606,94,36,18,76,0,0,0,0,2,84,6,0,2,0,22,1,13,0
TOP500_201611,201611,95,30,18,77,0,0,0,0,1,86,6,0,2,0,19,0,11,0
TOP500_201706,201706,95,33,17,78,0,0,0,0,1,87,5,0,2,0,26,0,7,0
TOP500_201711,201711,76,25,16,60,0,0,0,0,1,69,4,0,2,0,20,0,5,0
TOP500_201806,201806,64,22,14,50,0,0,0,0,0,58,5,0,1,0,19,0,3,0
TOP500_201811,201811,58,18,12,46,0,0,0,0,0,53,4,0,1,0,16,0,2,0
TOP500_201906,201906,59,20,7,52,0,0,0,0,0,55,3,0,1,0,19,0,1,0
TOP500_201911,201911,57,22,4,53,0,0,0,0,0,52,4,0,1,0,21,0,1,0
TOP500_202006,202006,63,26,4,59,0,0,0,0,2,56,4,0,1,0,25,0,1,0
TOP500_202011,202011,66,23,4,62,0,0,0,0,4,57,4,0,1,0,22,0,1,0
TOP500_202106,202106,73,22,5,68,0,0,0,0,12,56,3,0,2,0,22,0,0,0
TOP500_202111,202111,76,26,7,69,0,0,0,0,16,55,3,0,2,0,26,0,0,0
TOP500_202206,202206,86,31,9,77,0,0,0,0,23,58,3,0,2,0,30,1,0,0
TOP500_202211,202211,87,35,10,77,0,0,0,0,26,56,3,0,2,0,33,2,0,0
TOP500_202306,202306,94,41,9,85,0,0,0,0,31,58,3,0,2,0,38,3,0,0
TOP500_202311,202311,99,44,11,88,0,0,0,0,34,59,3,0,3,0,39,3,2,0
TOP500_202406,202406,103,52,12,91,0,0,0,0,39,57,2,2,3,0,47,3,2,0
TOP500_202411,202411,111,62,12,99,0,0,0,0,42,61,1,4,3,0,56,4,2,0
TOP500_202506,202506,120,71,15,105,0,0,0,0,46,63,1,7,3,0,65,4,2,0
TOP500_202511,202511,124,77,17,107,0,0,0,0,47,64,1,9,3,0,71,4,2,0
TOP500_202606,202606,131,86,16,115,0,0,0,0,54,62,1,12,2,0,78,6,2,0
